Ἡροδότου	N--s---mg-
Ἁλικαρνησσέος	N--s---mg-
ἱστορίης	N--s---fg-
ἀπόδεξις	N--s---fn-
ἥδε	Pd-s---fn-
,	punct
ὡς	C---------
μήτε	C---------
τὰ	S--p---nn-
γενόμενα	V--papmnn-
ἐξ	R---------
ἀνθρώπων	N--p---mg-
τῷ	S--s---od-
χρόνῳ	N--s---md-
ἐξίτηλα	A--p---nn-
γένηται	V-3sasm---
,	punct
μήτε	C---------
ἔργα	N--p---nn-
μεγάλα	A--p---nn-
τε	C---------
καὶ	C---------
θωμαστά	A--p---nn-
,	punct
τὰ	Pp3p---nn-
μὲν	D---------
Ἕλλησι	N--p---md-
τὰ	Pp3p---nn-
δὲ	Gf--------
βαρβάροισι	N--p---md-
ἀποδεχθέντα	V--pappnn-
,	punct
ἀκλεᾶ	A--p---nn-
γένηται	V-3sasm---
,	punct
τά	S--p---nn-
τε	C---------
ἄλλα	Px-p---nn-
καὶ	C---------
δι’	R---------
ἣν	Pr-s---fa-
αἰτίην	N--s---fa-
ἐπολέμησαν	V-3paia---
ἀλλήλοισι	Pc-p---md-
.	punct
Περσέων	N--p---mg-
μέν	Gf--------
νυν	D---------
οἱ	S--p---mn-
λόγιοι	N--p---mn-
Φοίνικας	N--p---ma-
αἰτίους	A--p---ma-
φασὶ	V-3ppia---
γενέσθαι	V---anm---
τῆς	S--s---fg-
διαφορῆς	N--s---fg-
.	punct
τούτους	Pd-p---ma-
γὰρ	D---------
ἀπὸ	R---------
τῆς	S--s---fg-
Ἐρυθρῆς	A--s---fg-
καλεομένης	V--sppefg-
θαλάσσης	N--s---fg-
ἀπικομένους	V--papmma-
ἐπὶ	R---------
τήνδε	Pd-s---fa-
τὴν	S--s---fa-
θάλασσαν	N--s---fa-
,	punct
καὶ	C---------
οἰκήσαντας	V--papama-
τοῦτον	Pd-s---ma-
τὸν	S--s---ma-
χῶρον	N--s---ma-
τὸν	Pr-s---ma-
καὶ	C---------
νῦν	D---------
οἰκέουσι	V-3ppia---
,	punct
αὐτίκα	D---------
ναυτιλίῃσι	N--p---fd-
μακρῇσι	A--p---fd-
ἐπιθέσθαι	V---anm---
,	punct
ἀπαγινέοντας	V--pppama-
δὲ	Gf--------
φορτία	N--p---na-
Αἰγύπτιά	A--p---na-
τε	C---------
καὶ	C---------
Ἀσσύρια	A--p---na-
τῇ	S--s---fd-
τε	C---------
ἄλλῃ	D---------
ἐσαπικνέεσθαι	V---pne---
καὶ	C---------
δὴ	D---------
καὶ	D---------
ἐς	R---------
Ἄργος	N--s---na-
.	punct
τὸ	S--s---nn-
δὲ	Gf--------
Ἄργος	N--s---nn-
τοῦτον	Pd-s---ma-
τὸν	S--s---ma-
χρόνον	N--s---ma-
προεῖχε	V-3siia---
ἅπασι	A--p---od-
τῶν	S--p---fg-
ἐν	R---------
τῇ	S--s---fd-
νῦν	D---------
Ἑλλάδι	N--s---fd-
καλεομένῃ	V--spppfd-
χωρῇ	N--s---fd-
.	punct
ἀπικομένους	V--papmma-
δὲ	Gf--------
τούς	S--p---ma-
Φοίνικας	N--p---ma-
ἐς	R---------
δὴ	D---------
τὸ	S--s---na-
Ἄργος	N--s---na-
τοῦτο	Pd-s---na-
διατίθεσθαι	V---pnm---
τὸν	S--s---ma-
φόρτον	N--s---na-
.	punct
πέμπτῃ	M--s---fd-
δὲ	Gf--------
ἢ	C---------
ἕκτῃ	M--s---fn-
ἡμέρῃ	N--s---fd-
ἀπ’	R---------
ἧς	Pr-s---fg-
ἀπίκοντο	V-3paim---
,	punct
ἐξεμπολημένων	V--prppng-
σφι	Pp3p---md-
σχεδόν	D---------
πάντων	Px-p---ng-
,	punct
ἐλθεῖν	V---ana---
ἐπὶ	R---------
τὴν	S--s---fa-
θάλασσαν	N--s---fa-
γυναῖκας	N--p---fa-
ἄλλας	A--p---fa-
τε	C---------
πολλάς	A--p---fa-
καὶ	C---------
δὴ	D---------
καὶ	D---------
τοῦ	S--s---og-
βασιλέος	N--s---mg-
θυγατέρα	N--s---fa-
:	punct
τὸ	S--s---na-
δέ	Gf--------
οἱ	Pp3s---fd-
οὔνομα	N--s---na-
εἶναι	V---pna---
,	punct
κατὰ	R---------
τὸ	S--s---na-
αὐτὸ	Pp3s---na-
τὸ	S--s---na-
καὶ	D---------
Ἕλληνές	N--p---mn-
λέγουσι	V-3ppia---
,	punct
Ἰοῦν	N--s---fa-
τὴν	S--s---fa-
Ἰνάχου	N--s---mg-
:	punct
ταύτας	Pd-p---fa-
στάσας	V--papafa-
κατά	R---------
πρύμνην	N--s---fa-
τῆς	S--s---fg-
νεὸς	N--s---fg-
ὠνέεσθαι	V---pnm---
τῶν	S--p---qg-
φορτίων	N--p---ng-
τῶν	Pr-p---ng-
σφι	Pp3p---md-
ἦν	V-3siia---
θυμός	N--s---mn-
μάλιστα	D--------s
:	punct
καὶ	C---------
τοὺς	S--p---ma-
Φοίνικας	N--p---ma-
διακελευσαμένους	V--papmma-
ὁρμῆσαι	V---ana---
ἐπ’	R---------
αὐτάς	Pp3p---fa-
.	punct
τὰς	S--p---fa-
μὲν	D---------
δὴ	D---------
πλεῦνας	A--p---fac
τῶν	S--p---qg-
γυναικῶν	N--p---fg-
ἀποφυγεῖν	V---pna---
,	punct
τὴν	S--s---fa-
δὲ	Gf--------
Ἰοῦν	N--s---fa-
σὺν	R---------
ἄλλῃσι	Px-p---fd-
ἁρπασθῆναι	V---anp---
.	punct
ἐσβαλομένους	V--papmma-
δὲ	Gf--------
ἐς	R---------
τὴν	S--s---fa-
νέα	N--s---fa-
οἴχεσθαι	V---pnm---
ἀποπλέοντας	V--pppama-
ἐπ’	R---------
Αἰγύπτου	N--s---fg-
.	punct
οὕτω	D---------
μὲν	D---------
Ἰοῦν	N--s---fa-
ἐς	R---------
Αἴγυπτον	N--s---fa-
ἀπικέσθαι	V---anm---
